,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
0,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['Living_Room']
1,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['Living_Room']
2,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
3,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Brown'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
4,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Brown'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
5,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
6,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
7,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['Living_Room']
8,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['800 x 800'],['3'],['1.92'],['Living_Room']
9,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Brown'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
10,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['Living_Room']
11,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['800 x 800'],['3'],['1.92'],['Living_Room']
12,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['800 x 800'],['3'],['1.92'],['Living_Room']
13,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['Living_Room']
14,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['Living_Room']
15,"['42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['800 x 800', '800 x 1200']","['3', '2']","['1.92', '1.92']",['Living_Room']
16,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['Living_Room']
17,['42'],['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],['800 x 800'],['3'],['1.92'],['Living_Room']
